20705	7.0	929317
20705	7.0	929347
20705	7.0	929357
20705	7.0	929317
20705	7.0	9293117
20705	7.0	9293127
20705	7.0	9293167
20705	7.0	9293177
20705	7.0	9293267
20705	3.0	937293
20705	7.0	9293357
20705	7.0	9293387
20705	7.0	9293437
20705	7.0	9293487
20705	7.0	937317
20705	7.0	937347
20705	7.0	937357
20705	7.0	937317
20705	7.0	9373117
20705	7.0	9373127
20705	7.0	9373167
20705	7.0	9373177
20705	7.0	9373267
20705	7.0	937337
20705	3.0	9357373
20705	7.0	9373387
20705	7.0	9373437
20705	7.0	9373487
21082	5.0	7153395
21083	5.0	7153495
21935	6.0	4328136
21935	8.0	4336328
21935	8.0	4446328
22441	1.0	346861
22441	8.0	36158
22441	8.0	391468
22441	1.0	35891
22441	8.0	3451468
22441	8.0	345158
24021	8.0	6423198
24021	3.0	6238423
24021	8.0	6423248
24021	3.0	6198473
24021	8.0	6473238
24021	8.0	6473248
24021	8.0	6523198
24021	8.0	6523238
24021	3.0	6248523
24312	8.0	361468
24312	1.0	35861
24312	1.0	346891
24312	8.0	39158
24312	1.0	3468451
24312	1.0	358451
26760	4.0	413634
26760	6.0	434336
26760	6.0	434446
26760	6.0	434556
26760	6.0	474136
26760	6.0	474336
26760	6.0	474446
26760	4.0	455674
26964	3.0	7395153
26964	3.0	7495153
26964	5.0	7153575
4706	5.0	74325
9508	3.0	72543
9508	5.0	74385
9508	5.0	711325
9508	3.0	785113
12288	3.0	78543
12288	5.0	743135
12288	3.0	725113
12288	5.0	711385
12288	5.0	7113135
12288	5.0	714325
12288	5.0	714385
12288	3.0	7135143
14509	3.0	713543
14509	5.0	743245
14509	3.0	7135113
14509	5.0	7113245
14509	3.0	725143
14509	3.0	785143
14509	5.0	7143135
14509	5.0	7143245
14509	3.0	9125273
17105	5.0	917125
17105	7.0	912537
17105	7.0	912557
17105	7.0	912597
17369	7.0	927317
17369	7.0	927337
17369	7.0	927357
17369	7.0	927397
18723	8.0	861178
18723	1.0	825861
18723	8.0	861288
18723	8.0	861318
18723	8.0	861328
